date,open,high,low,close,volume
2/01/2015,50.03,50.4,50.03,50.4,84844
5/01/2015,50.69,50.73,50.32,50.65,42645
6/01/2015,50.18,50.18,49.46,49.77,232437
7/01/2015,49.88,49.88,49.3,49.63,58253
8/01/2015,49.9,50.05,49.74,49.77,83496
9/01/2015,49.93,50.69,49.93,50.69,46818
12/01/2015,50.26,50.51,50.24,50.28,55655
13/01/2015,49.91,50.22,49.79,49.99,117553
14/01/2015,50,50.09,49.53,49.6,36094
15/01/2015,49.51,49.51,49.12,49.39,47060
16/01/2015,49.2,49.39,48.8,49.08,135653
19/01/2015,49.58,49.82,49.11,49.19,67519
20/01/2015,49.24,49.24,48.99,49.24,72647
21/01/2015,49.5,50,49.48,49.98,48733
22/01/2015,50.31,50.45,50.11,50.2,149185
23/01/2015,50.78,51,50.66,51,126883
27/01/2015,51.04,51.47,50.99,51.32,222744
28/01/2015,51.18,51.53,51.14,51.44,59821
29/01/2015,51.19,51.69,51.09,51.57,115067
30/01/2015,51.81,52.1,51.79,51.82,175872
2/02/2015,51.84,52.29,51.8,52.08,103012
3/02/2015,52.39,52.99,52.17,52.82,490148
4/02/2015,53.54,53.8,53.18,53.52,200494
5/02/2015,53.52,53.94,53.36,53.88,182557
6/02/2015,54.03,54.26,53.83,53.89,245743
9/02/2015,53.79,53.92,53.57,53.92,129986
10/02/2015,54.01,54.01,53.58,53.78,40312
11/02/2015,54,54,53.37,53.51,64443
12/02/2015,53.92,53.92,53.22,53.35,93260
13/02/2015,53.75,54.65,53.75,54.53,450344
16/02/2015,54.61,54.71,54.15,54.58,109518
17/02/2015,54.37,54.64,54.27,54.41,191610
18/02/2015,54.79,54.98,54.43,54.91,153915
19/02/2015,55,55.31,54.75,54.93,141390
20/02/2015,55.01,55.01,54.58,54.63,44591
23/02/2015,54.86,55.01,54.59,54.94,61687
24/02/2015,55.02,55.22,54.8,55.21,63450
25/02/2015,55.28,55.59,55.21,55.43,98839
26/02/2015,55.43,55.43,55.05,55.11,99926
27/02/2015,55.24,55.55,54.84,55.42,67964
2/03/2015,55.48,55.94,55.37,55.62,109107
3/03/2015,55.85,56.09,55.22,55.45,106674
4/03/2015,55.63,55.63,55.13,55.2,137470
5/03/2015,55.07,55.28,54.9,55.28,237175
6/03/2015,55.47,55.53,54.94,55.14,63024
9/03/2015,54.9,54.9,54.4,54.43,70103
10/03/2015,54.76,54.79,54.36,54.61,141506
11/03/2015,54.16,54.43,53.9,54.27,59723
12/03/2015,54.17,54.92,54.17,54.92,99904
13/03/2015,54.95,54.98,54.33,54.5,38244
16/03/2015,54.38,54.52,54.05,54.43,38327
17/03/2015,54.9,55.01,54.73,54.78,161812
18/03/2015,54.67,54.79,54.43,54.76,67793
19/03/2015,55.3,55.9,55.3,55.82,532261
20/03/2015,55.76,56.17,55.74,56.17,143862
23/03/2015,56.17,56.27,55.82,55.92,72589
24/03/2015,55.86,56.15,55.86,56.06,56683
25/03/2015,56,56.24,55.95,56.11,67146
26/03/2015,55.67,55.67,55.15,55.15,82754
27/03/2015,55.06,55.74,55.06,55.57,40953
30/03/2015,55.2,55.21,54.66,54.82,197036
31/03/2015,55.5,55.72,55.27,55.36,126468
1/04/2015,54.92,55.31,54.83,55.04,187449
2/04/2015,55.14,55.43,54.58,55.31,52939
7/04/2015,55.76,56.15,55.32,55.55,123909
8/04/2015,55.64,56.13,55.64,56,74101
9/04/2015,56.05,56.05,55.66,55.67,77246
10/04/2015,55.95,56.05,55.66,55.98,29926
13/04/2015,56.15,56.32,55.91,56,81870
14/04/2015,55.85,55.89,55.66,55.79,97128
15/04/2015,55.88,55.96,55.31,55.48,82100
16/04/2015,55.85,56.04,55.68,55.84,52935
17/04/2015,55.82,55.82,55.08,55.16,73444
20/04/2015,54.99,54.99,54.55,54.84,201005
21/04/2015,55.26,55.34,54.98,55.09,86550
22/04/2015,55.15,55.16,54.6,54.72,36209
23/04/2015,54.85,54.95,54.69,54.82,74827
24/04/2015,55.21,55.77,55.21,55.74,294994
27/04/2015,55.86,56.24,55.86,56.24,147112
28/04/2015,56.29,56.29,55.87,55.87,111248
29/04/2015,55.66,55.71,54.81,54.81,91594
30/04/2015,54.37,54.45,53.97,54.38,166594
1/05/2015,54.28,54.65,54.11,54.58,183600
4/05/2015,54.71,54.93,54.39,54.66,90645
5/05/2015,55.19,55.47,54.46,54.64,154445
6/05/2015,54.12,54.15,53.45,53.45,166968
7/05/2015,53,53.08,52.46,52.81,161375
8/05/2015,53.26,53.43,52.82,52.94,278166
11/05/2015,53.4,53.6,52.69,52.7,74368
12/05/2015,52.84,53.46,52.7,53.32,81167
13/05/2015,53.59,53.89,53.44,53.88,190110
14/05/2015,53.64,53.68,53.35,53.68,40719
15/05/2015,54.18,54.29,53.82,54.09,82532
18/05/2015,54.1,54.37,53.39,53.39,63160
19/05/2015,53.66,53.66,53,53.17,154215
20/05/2015,53,53.1,52.68,53.01,149783
21/05/2015,53.05,53.55,53.05,53.46,118234
22/05/2015,53.77,53.77,53.43,53.54,55232
25/05/2015,53.53,54.19,53.53,54,85101
26/05/2015,54.08,54.55,54.08,54.5,115497
27/05/2015,54.23,54.31,53.95,54.09,204683
28/05/2015,54.4,54.4,53.74,53.96,351645
29/05/2015,54.26,54.92,54.23,54.63,609757
1/06/2015,54.28,54.34,53.64,54.13,112478
2/06/2015,54.31,54.48,53.23,53.23,362866
3/06/2015,53.11,53.11,52.63,52.66,369552
4/06/2015,52.92,52.92,51.96,52.01,157170
5/06/2015,51.84,52.21,51.64,51.97,125166
9/06/2015,51.98,52.18,51.61,51.65,126317
10/06/2015,51.72,51.79,51.5,51.77,153806
11/06/2015,52.13,52.5,52.03,52.43,116872
12/06/2015,52.49,52.49,52.18,52.36,160967
15/06/2015,52.09,52.31,51.85,52.27,250347
16/06/2015,52.41,52.67,52.2,52.3,242950
17/06/2015,52.59,52.97,52.59,52.88,124973
18/06/2015,52.85,52.85,51.91,52.13,94646
